"""","和　　　　　歌　　　　　山　　　　　県_新規求職申込件数_月平均件数","和　　　　　歌　　　　　山　　　　　県_新規求職申込件数_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_有効求職者数_月平均人数","和　　　　　歌　　　　　山　　　　　県_有効求職者数_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_就　職　件　数_月平均件数","和　　　　　歌　　　　　山　　　　　県_就　職　件　数_前年(同月･期)比"
"平成17年","4597.0","-4.3","17952.0","-4.9","1608.0","-4.2"
"平成18年","4392.0","-4.459430063084625","17008.0","-5.258467023172912","1540.5072499999999","-4.197310323383093"
"平成19年","4040.5833333333335","-8.001290224650887","16023.916666666666","-5.786002665412354","1489.5833333333333","-3.3056590072306733"
"平成20年","3986.5833333333335","-1.3364406954441392","15538.0","-3.0324462912209356","1441.25","-3.2447552447552397"
"平成21年","4501.75","12.922510922051032","18145.166666666668","16.779293774402547","1562.0833333333333","8.383925990170567"
"平成22年","4686.166666666667","4.09655504340904","18697.0","3.0412139137143868","1670.3333333333333","6.929847959455856"
"平成23年","4625.666666666667","-1.2910338940854302","18465.416666666668","-1.238612255085485","1698.75","1.7012572340850056"
"平成24年","4293.666666666667","-7.1773438062981825","17274.166666666668","-6.451248956382429","1671.75","-1.5894039735099312"
"平成25年","4098.583333333333","-4.543513702352314","16645.916666666668","-3.6369337642915696","1610.6666666666667","-3.65385573999302"
"平成26年","3746.8333333333335","-8.582233698635704","15391.583333333334","-7.535381550029783","1538.25","-4.496067880794712"
"平成19年1-3月","4420.666666666667","0.4","15937.666666666666","-7.5","1506.6666666666667","4.8"
"平成19年4-6月","4591.0","3.3","17367.333333333332","1.9","1660.3333333333333","11.1"
"平成19年7-9月","3816.6666666666665","-12.4","15950.333333333334","-6.0","1417.3333333333333","-6.4"
"平成19年10-12月","3334.0","-22.3","14840.333333333334","-11.1","1374.0","-19.9"
"平成20年1-3月","4158.0","-5.941788568843322","14825.666666666666","-6.977181937966662","1411.6666666666667","-6.305309734513273"
"平成20年4-6月","4518.666666666667","-1.5755463588179737","16669.0","-4.02095888833442","1585.6666666666667","-4.49708893796425"
"平成20年7-9月","3824.3333333333335","0.20087336244543508","15582.0","-2.3092516352845394","1401.0","-1.152398871119459"
"平成20年10-12月","3445.3333333333335","3.3393321335732935","15075.333333333334","1.5835223826958185","1366.6666666666667","-0.5337214944201776"
"平成21年1-3月","4653.333333333333","11.912778579445245","16156.666666666666","8.977673853902019","1422.0","0.7319952774498262"
"平成21年4-6月","5150.0","13.971673059899658","19565.666666666668","17.37756714060032","1669.0","5.255413075467729"
"平成21年7-9月","4345.333333333333","13.623289462215624","18972.0","21.755872160184822","1561.0","11.420413990007134"
"平成21年10-12月","3858.3333333333335","11.987229102167191","17886.333333333332","18.646353867244486","1596.3333333333333","16.80487804878048"
"平成22年1-3月","4872.333333333333","4.706303724928375","17964.333333333332","11.18836393645553","1603.0","12.728551336146282"
"平成22年4-6月","5261.0","2.1553398058252498","20131.0","2.889415131948823","1748.6666666666667","4.773317355702005"
"平成22年7-9月","4615.0","6.205891377723233","18954.333333333332","-0.09311968515005731","1708.3333333333333","9.438394191757425"
"平成22年10-12月","3996.3333333333335","3.576673866090701","17738.333333333332","-0.8274473993179186","1621.3333333333333","1.5660889538525709"
"平成23年1-3月","5129.333333333333","5.274680166928917","18304.666666666668","1.8944946468001547","1729.6666666666667","7.901850696610538"
"平成23年4-6月","5211.666666666667","-0.9377177976303557","19983.333333333332","-0.7335287202159293","1803.3333333333333","3.1261913839115465"
"平成23年7-9月","4474.333333333333","-3.0480317804261574","18662.0","-1.5423034310535826","1649.0","-3.473170731707313"
"平成23年10-12月","3687.3333333333335","-7.732087747101517","16911.666666666668","-4.660340129662671","1613.0","-0.5139802631578902"
"平成24年1-3月","4627.333333333333","-9.78684689368339","16737.666666666668","-8.56065848417525","1669.0","-3.5074195413374554"
"平成24年4-6月","4925.666666666667","-5.4876878797569475","18814.0","-5.8515429524603775","1840.6666666666667","2.0702402957486328"
"平成24年7-9月","4011.6666666666665","-10.340460403784547","17377.333333333332","-6.883863823098636","1614.3333333333333","-2.1022842126541406"
"平成24年10-12月","3610.0","-2.0972699331043287","16167.666666666666","-4.399329851187545","1563.0","-3.0998140111593244"
"平成25年1-3月","4434.666666666667","-4.163665177928237","16367.333333333334","-2.212574432915787","1607.0","-3.7147992810065915"
"平成25年4-6月","4652.333333333333","-5.549164241727027","18079.666666666668","-3.903121788738872","1778.6666666666667","-3.3683448026077514"
"平成25年7-9月","3954.0","-1.437474034067293","16773.333333333332","-3.475792219749863","1582.6666666666667","-1.9615940532727478"
"平成25年10-12月","3353.3333333333335","-7.109879963065552","15363.333333333334","-4.974950003092587","1474.3333333333333","-5.672851354233316"
"平成26年1-3月","4058.6666666666665","-8.478653036680711","15209.0","-7.077104802248385","1586.6666666666667","-1.2652976560879523"
"平成26年4-6月","4414.0","-5.1228774091853495","16513.333333333332","-8.663507808034822","1758.6666666666667","-1.1244377811094495"
"平成26年7-9月","3539.6666666666665","-10.47883999325579","15380.0","-8.306836248012715","1457.3333333333333","-7.919123841617534"
"平成26年10-12月","2975.0","-11.282306163021872","14464.0","-5.853764374050769","1350.3333333333333","-8.410581053583542"
"平成19年1月","4728.0","9.3","15438.0","-10.1","1331.0","14.4"
"平成19年2月","4100.0","-7.3","15749.0","-8.4","1513.0","1.2"
"平成19年3月","4434.0","-0.6","16626.0","-4.1","1676.0","1.3"
"平成19年4月","5479.0","21.1","17604.0","2.7","1677.0","33.3"
"平成19年5月","4431.0","1.3","17617.0","4.0","1723.0","12.3"
"平成19年6月","3863.0","-12.9","16881.0","-1.0","1581.0","-6.4"
"平成19年7月","3684.0","-15.4","16203.0","-4.6","1366.0","-9.4"
"平成19年8月","3817.0","-12.2","15836.0","-6.6","1334.0","-7.5"
"平成19年9月","3949.0","-9.7","15812.0","-6.7","1552.0","-2.7"
"平成19年10月","4220.0","-2.0","16084.0","-4.3","1662.0","3.2"
"平成19年11月","3285.0","-23.0","14944.0","-10.7","1396.0","-22.3"
"平成19年12月","2497.0","-41.9","13493.0","-18.5","1064.0","-38.9"
"平成20年1月","4283.0","-9.4","14150.0","-8.3","1163.0","-12.6"
"平成20年2月","4019.0","-2.0","14727.0","-6.5","1401.0","-7.4"
"平成20年3月","4172.0","-5.9","15600.0","-6.2","1671.0","-0.3"
