"""","和　　　　　歌　　　　　山　　　　　県_新規求職申込件数_月平均件数","和　　　　　歌　　　　　山　　　　　県_新規求職申込件数_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_有効求職者数_月平均人数","和　　　　　歌　　　　　山　　　　　県_有効求職者数_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_就　職　件　数_月平均件数","和　　　　　歌　　　　　山　　　　　県_就　職　件　数_前年(同月･期)比"
"平成20年4月","5510.0","0.6","16926.0","-3.9","1560.0","-7.0"
"平成20年5月","4214.0","-4.9","16775.0","-4.8","1615.0","-6.3"
"平成20年6月","3832.0","-0.8","16306.0","-3.4","1582.0","0.1"
"平成20年7月","3751.0","1.8","15868.0","-2.1","1480.0","8.3"
"平成20年8月","3521.0","-7.8","15186.0","-4.1","1194.0","-10.5"
"平成20年9月","4201.0","6.4","15692.0","-0.8","1529.0","-1.5"
"平成20年10月","4249.0","0.7","15996.0","-0.5","1638.0","-1.4"
"平成20年11月","3244.0","-1.2","15105.0","1.1","1273.0","-8.8"
"平成20年12月","2843.0","13.9","14125.0","4.7","1189.0","11.7"
"平成21年1月","4639.0","8.3","15008.0","6.1","1254.0","7.8"
"平成21年2月","4278.0","6.4","15863.0","7.7","1329.0","-5.1"
"平成21年3月","5043.0","20.9","17599.0","12.8","1683.0","0.7"
"平成21年4月","6359.0","15.4","19510.0","15.3","1694.0","8.6"
"平成21年5月","4390.0","4.2","19478.0","16.1","1614.0","-0.1"
"平成21年6月","4701.0","22.7","19709.0","20.9","1699.0","7.4"
"平成21年7月","4412.0","17.6","19270.0","21.4","1590.0","7.4"
"平成21年8月","3955.0","12.3","18726.0","23.3","1448.0","21.3"
"平成21年9月","4669.0","11.1","18920.0","20.6","1645.0","7.6"
"平成21年10月","4719.0","11.1","19100.0","19.4","1804.0","10.1"
"平成21年11月","3797.0","17.0","18073.0","19.6","1625.0","27.7"
"平成21年12月","3059.0","7.6","16486.0","16.7","1360.0","14.4"
"平成22年1月","4881.0","5.2","16973.0","13.1","1341.0","6.9"
"平成22年2月","4421.0","3.3","17688.0","11.5","1499.0","12.8"
"平成22年3月","5315.0","5.4","19232.0","9.3","1969.0","17.0"
"平成22年4月","6217.0","-2.2","20321.0","4.2","1820.0","7.4"
"平成22年5月","4939.0","12.5","20259.0","4.0","1632.0","1.1"
"平成22年6月","4627.0","-1.6","19813.0","0.5","1794.0","5.6"
"平成22年7月","4410.0","0.0","19082.0","-1.0","1679.0","5.6"
"平成22年8月","4492.0","13.6","18801.0","0.4","1587.0","9.6"
"平成22年9月","4943.0","5.9","18980.0","0.3","1859.0","13.0"
"平成22年10月","4532.0","-4.0","18704.0","-2.1","1822.0","1.0"
"平成22年11月","4195.0","10.5","18049.0","-0.1","1675.0","3.1"
"平成22年12月","3262.0","6.6","16462.0","-0.1","1367.0","0.5"
"平成23年1月","5119.0","4.9","17428.0","2.7","1432.0","6.8"
"平成23年2月","4716.0","6.7","17944.0","1.4","1555.0","3.7"
"平成23年3月","5553.0","4.5","19542.0","1.6","2202.0","11.8"
"平成23年4月","6133.0","-1.4","20219.0","-0.5","1758.0","-3.4"
"平成23年5月","4982.0","0.9","20182.0","-0.4","1792.0","9.8"
"平成23年6月","4520.0","-2.3","19549.0","-1.3","1860.0","3.7"
"平成23年7月","4223.0","-4.2","18689.0","-2.1","1666.0","-0.8"
"平成23年8月","4777.0","6.3","18669.0","-0.7","1617.0","1.9"
"平成23年9月","4423.0","-10.5","18628.0","-1.9","1664.0","-10.5"
"平成23年10月","4384.0","-3.3","18361.0","-1.8","1812.0","-0.5"
"平成23年11月","3795.0","-9.5","16989.0","-5.9","1698.0","1.4"
"平成23年12月","2883.0","-11.6","15385.0","-6.5","1329.0","-2.8"
"平成24年1月","4439.0","-13.3","15878.0","-8.9","1394.0","-2.7"
"平成24年2月","4504.0","-4.5","16499.0","-8.1","1550.0","-0.3"
"平成24年3月","4939.0","-11.1","17836.0","-8.7","2063.0","-6.3"
"平成24年4月","5804.0","-5.4","18955.0","-6.3","1856.0","5.6"
"平成24年5月","4838.0","-2.9","19196.0","-4.9","1954.0","9.0"
"平成24年6月","4135.0","-8.5","18291.0","-6.4","1712.0","-8.0"
"平成24年7月","3938.0","-6.7","17756.0","-5.0","1610.0","-3.4"
"平成24年8月","3951.0","-17.3","17206.0","-7.8","1558.0","-3.6"
"平成24年9月","4146.0","-6.3","17170.0","-7.8","1675.0","0.7"
"平成24年10月","4438.0","1.2","17332.0","-5.6","1836.0","1.3"
"平成24年11月","3564.0","-6.1","16357.0","-3.7","1643.0","-3.2"
"平成24年12月","2828.0","-1.9","14814.0","-3.7","1210.0","-9.0"
"平成25年1月","4625.0","4.2","15609.0","-1.7","1436.0","3.0"
"平成25年2月","4202.0","-6.7","16197.0","-1.8","1453.0","-6.3"
"平成25年3月","4477.0","-9.4","17296.0","-3.0","1932.0","-6.3"
"平成25年4月","5752.0","-0.9","18502.0","-2.4","1890.0","1.8"
"平成25年5月","4422.0","-8.6","18336.0","-4.5","1855.0","-5.1"
"平成25年6月","3783.0","-8.5","17401.0","-4.9","1591.0","-7.1"
"平成25年7月","4161.0","5.7","17219.0","-3.0","1709.0","6.1"
"平成25年8月","3691.0","-6.6","16559.0","-3.8","1384.0","-11.2"
"平成25年9月","4010.0","-3.3","16542.0","-3.7","1655.0","-1.2"
"平成25年10月","4131.0","-6.9","16438.0","-5.2","1738.0","-5.3"
"平成25年11月","3302.0","-7.4","15491.0","-5.3","1473.0","-10.3"
"平成25年12月","2627.0","-7.1","14161.0","-4.4","1212.0","0.2"
"平成26年1月","4348.0","-6.0","14848.0","-4.9","1378.0","-4.0"
"平成26年2月","3752.0","-10.7","15024.0","-7.2","1497.0","3.0"
"平成26年3月","4076.0","-9.0","15755.0","-8.9","1885.0","-2.4"
"平成26年4月","5442.0","-5.4","16874.0","-8.8","1930.0","2.1"
"平成26年5月","3959.0","-10.5","16558.0","-9.7","1704.0","-8.1"
"平成26年6月","3841.0","1.5","16108.0","-7.4","1642.0","3.2"
"平成26年7月","3524.0","-15.3","15646.0","-9.1","1541.0","-9.8"
"平成26年8月","3214.0","-12.9","15060.0","-9.1","1242.0","-10.3"
"平成26年9月","3881.0","-3.2","15434.0","-6.7","1589.0","-4.0"
"平成26年10月","3773.0","-8.7","15497.0","-5.7","1568.0","-9.8"
"平成26年11月","2766.0","-16.2","14605.0","-5.7","1347.0","-8.6"
"平成26年12月","2386.0","-9.2","13290.0","-6.2","1136.0","-6.3"
