"""","和　　　　　歌　　　　　山　　　　　県_新 規 求 人 数_月平均人数","和　　　　　歌　　　　　山　　　　　県_新 規 求 人 数_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_有 効 求 人 数_月平均人数","和　　　　　歌　　　　　山　　　　　県_有 効 求 人 数_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_充　　足　　数_月平均人数","和　　　　　歌　　　　　山　　　　　県_充　　足　　数_前年(同月･期)比"
"平成17年","5469.0","7.2","13859.0","11.2","1464.9738333333335","-5.2"
"平成18年","5526.0","1.04","14013.0","1.11","1403.2308333333333","-4.21"
"平成19年","5525.0","-0.018096272167937855","14393.833333333334","2.717714503199417","1380.4166666666667","-1.625831340412617"
"平成20年","5018.75","-9.16289592760181","13019.583333333334","-9.547491402568227","1333.6666666666667","-3.3866586175671642"
"平成21年","4149.083333333333","-17.32835201328352","10169.166666666666","-21.89330175696867","1482.3333333333333","11.147213196700818"
"平成22年","4578.166666666667","10.341641728092583","10810.583333333334","6.307465377366242","1594.5","7.5668990330560035"
"平成23年","5236.0","14.36892496996613","13110.25","21.272364272664902","1617.5833333333333","1.447684749660283"
"平成24年","5523.0","5.48128342245991","13946.583333333334","6.37923253434019","1599.5","-1.1179228272628876"
"平成25年","5680.75","2.8562375520550347","14784.25","6.00625003734487","1517.4166666666667","-5.131812024591014"
"平成26年","5726.75","0.8097522334198857","15306.166666666666","3.5302207867606796","1454.8333333333333","-4.124334120489877"
"平成19年1-3月","5753.0","6.9","14550.666666666666","6.9","1396.3333333333333","9.5"
"平成19年4-6月","5514.333333333333","0.1","14150.666666666666","1.4","1539.3333333333333","-4.1"
"平成19年7-9月","5644.666666666667","1.0","14586.666666666666","3.4","1302.3333333333333","-5.3"
"平成19年10-12月","5188.0","-6.2","14287.333333333334","0.7","1283.6666666666667","-5.4"
"平成20年1-3月","5404.0","-6.066400139057876","13793.666666666666","-5.202510766975166","1287.3333333333333","-7.806158987825256"
"平成20年4-6月","5126.666666666667","-7.030163815511088","13346.333333333334","-5.684066710637893","1470.3333333333333","-4.482459939367686"
"平成20年7-9月","5003.0","-11.367662690445272","12760.333333333334","-12.520566727605114","1294.0","-0.6398771435884356"
"平成20年10-12月","4541.333333333333","-12.464662040606527","12178.0","-14.763660118519908","1283.0","-0.05193456245132211"
"平成21年1-3月","4559.0","-15.636565507031833","11387.666666666666","-17.442787752833425","1340.3333333333333","4.1170378042465074"
"平成21年4-6月","4029.6666666666665","-21.397919375812748","9971.333333333334","-25.287844351757045","1600.3333333333333","8.841532532305592"
"平成21年7-9月","4131.333333333333","-17.422879605570003","9573.0","-24.97844883884956","1475.3333333333333","14.013395157135491"
"平成21年10-12月","3876.3333333333335","-14.643276570757479","9744.666666666666","-19.981387200963496","1513.3333333333333","17.952714990906713"
"平成22年1-3月","4473.666666666667","-1.8717555019375567","10156.333333333334","-10.812867722389711","1532.3333333333333","14.324794827157433"
"平成22年4-6月","4232.0","5.0210935561254075","9981.333333333334","0.10028749080697708","1654.0","3.353468027494273"
"平成22年7-9月","4879.666666666667","18.113603356462818","11066.666666666666","15.602910964866453","1637.0","10.957975598734748"
"平成22年10-12月","4727.333333333333","21.953736348783195","12038.0","23.5342409523158","1554.6666666666667","2.731277533039659"
"平成23年1-3月","5609.333333333333","25.385589747410762","13314.333333333334","31.09389871672846","1636.0","6.765281705460097"
"平成23年4-6月","5024.0","18.714555765595463","12812.666666666666","28.366283729628606","1708.3333333333333","3.2849657396211143"
"平成23年7-9月","5234.666666666667","7.2750870961131255","12904.666666666666","16.608433734939766","1572.6666666666667","-3.9299531663612157"
"平成23年10-12月","5076.0","7.37554646735299","13409.333333333334","11.39170404829153","1553.3333333333333","-0.08576329331046395"
"平成24年1-3月","5522.666666666667","-1.545043974328479","13406.666666666666","0.6934882207145137","1605.0","-1.8948655256723725"
"平成24年4-6月","5327.666666666667","6.044320594479842","13607.333333333334","6.202195743795215","1787.6666666666667","4.6439024390244015"
"平成24年7-9月","5513.666666666667","5.32985226693836","13824.0","7.124037815777243","1550.6666666666667","-1.3988978380669863"
"平成24年10-12月","5728.0","12.844759653270302","14948.333333333334","11.477080640349996","1454.6666666666667","-6.351931330472098"
"平成25年1-3月","5870.0","6.289232254949283","15075.666666666666","12.44903033316757","1499.3333333333333","-6.583592938733133"
"平成25年4-6月","5394.0","1.245072889945547","13890.333333333334","2.0797609132330592","1685.0","-5.743054260674995"
"平成25年7-9月","5708.666666666667","3.5366664651472064","14502.666666666666","4.909336419753089","1482.3333333333333","-4.406706792777314"
"平成25年10-12月","5750.333333333333","0.38989757914337986","15668.333333333334","4.816590478314197","1403.0","-3.551787351054088"
"平成26年1-3月","6055.0","3.15161839863714","15426.333333333334","2.326044177150834","1509.6666666666667","0.6891951978657289"
"平成26年4-6月","5711.333333333333","5.883079965393634","15269.0","9.925367761752767","1671.0","-0.8308605341246391"
"平成26年7-9月","5632.0","-1.3429872708163089","15130.0","4.325641261377228","1377.3333333333333","-7.083427029458065"
"平成26年10-12月","5508.666666666667","-4.202654918555439","15399.333333333334","-1.7168386341878517","1261.3333333333333","-10.097410311237837"
"平成19年1月","5722.0","4.7","14027.0","4.4","1229.0","9.2"
"平成19年2月","5921.0","12.2","14592.0","7.7","1408.0","14.5"
"平成19年3月","5616.0","3.9","15033.0","8.5","1552.0","5.5"
"平成19年4月","5455.0","1.6","14528.0","4.4","1549.0","-1.2"
"平成19年5月","5513.0","1.0","14002.0","0.8","1620.0","0.6"
"平成19年6月","5575.0","-2.0","13922.0","-0.8","1449.0","-11.5"
"平成19年7月","5466.0","0.5","14027.0","1.0","1249.0","-8.9"
"平成19年8月","5846.0","-0.5","14695.0","2.6","1206.0","-11.9"
"平成19年9月","5622.0","3.2","15038.0","6.6","1452.0","4.9"
"平成19年10月","5908.0","10.7","15320.0","9.5","1559.0","9.0"
"平成19年11月","5194.0","-9.1","14248.0","0.2","1290.0","-9.7"
"平成19年12月","4462.0","-19.5","13294.0","-7.4","1002.0","-17.4"
"平成20年1月","5448.0","-4.8","13350.0","-4.8","1073.0","-12.7"
"平成20年2月","5774.0","-2.5","14019.0","-3.9","1271.0","-9.7"
"平成20年3月","4990.0","-11.1","14012.0","-6.8","1518.0","-2.2"
"平成20年4月","5299.0","-2.9","13828.0","-4.8","1454.0","-6.1"
"平成20年5月","5181.0","-6.0","13247.0","-5.4","1503.0","-7.2"
