"""","和　　　　　歌　　　　　山　　　　　県_新 規 求 人 数_月平均人数","和　　　　　歌　　　　　山　　　　　県_新 規 求 人 数_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_有 効 求 人 数_月平均人数","和　　　　　歌　　　　　山　　　　　県_有 効 求 人 数_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_充　　足　　数_月平均人数","和　　　　　歌　　　　　山　　　　　県_充　　足　　数_前年(同月･期)比"
"平成20年6月","4900.0","-12.1","12964.0","-6.9","1454.0","0.3"
"平成20年7月","4907.0","-10.2","12675.0","-9.6","1359.0","8.8"
"平成20年8月","4926.0","-15.7","12434.0","-15.4","1096.0","-9.1"
"平成20年9月","5176.0","-7.9","13172.0","-12.4","1427.0","-1.7"
"平成20年10月","5049.0","-14.5","13145.0","-14.2","1532.0","-1.7"
"平成20年11月","4369.0","-15.9","12104.0","-15.0","1198.0","-7.1"
"平成20年12月","4206.0","-5.7","11285.0","-15.1","1119.0","11.7"
"平成21年1月","4552.0","-16.4","11269.0","-15.6","1166.0","8.7"
"平成21年2月","4894.0","-15.2","11596.0","-17.3","1241.0","-2.4"
"平成21年3月","4231.0","-15.2","11298.0","-19.4","1614.0","6.3"
"平成21年4月","4308.0","-18.7","10774.0","-22.1","1624.0","11.7"
"平成21年5月","3750.0","-27.6","9597.0","-27.6","1523.0","1.3"
"平成21年6月","4031.0","-17.7","9543.0","-26.4","1654.0","13.8"
"平成21年7月","4209.0","-14.2","9452.0","-25.4","1508.0","11.0"
"平成21年8月","3853.0","-21.8","9372.0","-24.6","1372.0","25.2"
"平成21年9月","4332.0","-16.3","9895.0","-24.9","1546.0","8.3"
"平成21年10月","4491.0","-11.1","10322.0","-21.5","1740.0","13.6"
"平成21年11月","3721.0","-14.8","9922.0","-18.0","1530.0","27.7"
"平成21年12月","3417.0","-18.8","8990.0","-20.3","1270.0","13.5"
"平成22年1月","4456.0","-2.1","9450.0","-16.1","1298.0","11.3"
"平成22年2月","4518.0","-7.7","10248.0","-11.6","1431.0","15.3"
"平成22年3月","4447.0","5.1","10771.0","-4.7","1868.0","15.7"
"平成22年4月","4310.0","0.0","10262.0","-4.8","1704.0","4.9"
"平成22年5月","4039.0","7.7","9719.0","1.3","1562.0","2.6"
"平成22年6月","4347.0","7.8","9963.0","4.4","1696.0","2.5"
"平成22年7月","4616.0","9.7","10352.0","9.5","1619.0","7.4"
"平成22年8月","4586.0","19.0","10809.0","15.3","1515.0","10.4"
"平成22年9月","5437.0","25.5","12039.0","21.7","1777.0","14.9"
"平成22年10月","4976.0","10.8","12361.0","19.8","1752.0","0.7"
"平成22年11月","4663.0","25.3","12216.0","23.1","1615.0","5.6"
"平成22年12月","4543.0","33.0","11537.0","28.3","1297.0","2.1"
"平成23年1月","5291.0","18.7","12193.0","29.0","1319.0","1.6"
"平成23年2月","5701.0","26.2","13461.0","31.4","1490.0","4.1"
"平成23年3月","5836.0","31.2","14289.0","32.7","2099.0","12.4"
"平成23年4月","5028.0","16.7","13280.0","29.4","1673.0","-1.8"
"平成23年5月","5022.0","24.3","12586.0","29.5","1700.0","8.8"
"平成23年6月","5022.0","15.5","12572.0","26.2","1752.0","3.3"
"平成23年7月","4795.0","3.9","12188.0","17.7","1605.0","-0.9"
"平成23年8月","5601.0","22.1","13089.0","21.1","1516.0","0.1"
"平成23年9月","5308.0","-2.4","13437.0","11.6","1597.0","-10.1"
"平成23年10月","5619.0","12.9","13682.0","10.7","1756.0","0.2"
"平成23年11月","5405.0","15.9","13818.0","13.1","1609.0","-0.4"
"平成23年12月","4204.0","-7.5","12728.0","10.3","1295.0","-0.2"
"平成24年1月","5312.0","0.4","12774.0","4.8","1341.0","1.7"
"平成24年2月","5690.0","-0.2","13234.0","-1.7","1469.0","-1.4"
"平成24年3月","5566.0","-4.6","14212.0","-0.5","2005.0","-4.5"
"平成24年4月","5460.0","8.6","13896.0","4.6","1831.0","9.4"
"平成24年5月","5565.0","10.8","13631.0","8.3","1879.0","10.5"
"平成24年6月","4958.0","-1.3","13295.0","5.8","1653.0","-5.7"
"平成24年7月","5597.0","16.7","13405.0","10.0","1537.0","-4.2"
"平成24年8月","5610.0","0.2","13887.0","6.1","1482.0","-2.2"
"平成24年9月","5334.0","0.5","14180.0","5.5","1633.0","2.3"
"平成24年10月","6512.0","15.9","15106.0","10.4","1740.0","-0.9"
"平成24年11月","5792.0","7.2","15189.0","9.9","1478.0","-8.1"
"平成24年12月","4880.0","16.1","14550.0","14.3","1146.0","-11.5"
"平成25年1月","5988.0","12.7","14565.0","14.0","1344.0","0.2"
"平成25年2月","6108.0","7.3","15137.0","14.4","1313.0","-10.6"
"平成25年3月","5514.0","-0.9","15525.0","9.2","1841.0","-8.2"
"平成25年4月","5257.0","-3.7","14169.0","2.0","1807.0","-1.3"
"平成25年5月","5466.0","-1.8","13604.0","-0.2","1736.0","-7.6"
"平成25年6月","5459.0","10.1","13898.0","4.5","1512.0","-8.5"
"平成25年7月","5521.0","-1.4","14231.0","6.2","1586.0","3.2"
"平成25年8月","5627.0","0.3","14130.0","1.7","1313.0","-11.4"
"平成25年9月","5978.0","12.1","15147.0","6.8","1548.0","-5.2"
"平成25年10月","6630.0","1.8","16142.0","6.9","1644.0","-5.5"
"平成25年11月","5823.0","0.5","15936.0","4.9","1398.0","-5.4"
"平成25年12月","4798.0","-1.7","14927.0","2.6","1167.0","1.8"
"平成26年1月","6093.0","1.8","15019.0","3.1","1321.0","-1.7"
"平成26年2月","5948.0","-2.6","15239.0","0.7","1433.0","9.1"
"平成26年3月","6124.0","11.1","16021.0","3.2","1775.0","-3.6"
"平成26年4月","5889.0","12.0","15474.0","9.2","1821.0","0.8"
"平成26年5月","5642.0","3.2","15106.0","11.0","1609.0","-7.3"
"平成26年6月","5603.0","2.6","15227.0","9.6","1583.0","4.7"
"平成26年7月","5614.0","1.7","14862.0","4.4","1468.0","-7.4"
"平成26年8月","5583.0","-0.8","15085.0","6.8","1182.0","-10.0"
"平成26年9月","5699.0","-4.7","15443.0","2.0","1482.0","-4.3"
"平成26年10月","6382.0","-3.7","15979.0","-1.0","1473.0","-10.4"
"平成26年11月","5230.0","-10.2","15563.0","-2.3","1256.0","-10.2"
"平成26年12月","4914.0","2.4","14656.0","-1.8","1055.0","-9.6"
