"""","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_名目指数","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_実質指数","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_常　用　雇　用_指    数","和　　　　　歌　　　　　山　　　　　県_常　用　雇　用_前年(同月･期)比"
"平成17年","104.9","0.0","106.3","0.0","87.1","-"
"平成18年","102.5","-2.2878932316491927","103.4","-2.7281279397930405","87.6","0.5740528128587812"
"平成19年","100.28333333333335","-2.1626016260162544","100.55","-2.756286266924562","91.59166666666665","4.55669710806697"
"平成20年","100.7","0.41548944656804565","99.0","-1.5415216310293403","95.4","4.157947411518535"
"平成21年","100.4","-0.2979145978152786","99.9","0.9090909090909065","100.5","5.345911949685529"
"平成22年","100.0","-0.39840637450200234","100.0","0.10010010010009296","100.0","-0.4975124378109399"
"平成23年","96.3","-3.700000000000003","96.3","-3.700000000000003","100.0","0.0"
"平成24年","97.7","1.4537902388369872","97.9","1.6614745586708324","98.2","-1.7999999999999972"
"平成25年","97.4","-0.3070624360286587","97.0","-0.9193054136874395","100.1","1.9348268839103753"
"平成26年","98.4","1.0266940451745512","94.7","-2.371134020618541","100.3","0.19980019980019392"
"平成19年1-3月","100.16666666666667","-3.0","101.39999999999999","-3.4","89.36666666666667","2.1"
"平成19年4-6月","100.06666666666666","-2.7","100.46666666666665","-3.3","91.53333333333335","2.4"
"平成19年7-9月","100.03333333333335","-1.8","100.03333333333335","-2.3","92.53333333333335","2.3"
"平成19年10-12月","100.86666666666667","-1.3","100.30000000000001","-2.4","92.93333333333334","1.6"
"平成20年1-3月","101.3","1.1314475873544012","100.83333333333333","-0.5588428665351728","93.96666666666665","5.1473330846698815"
"平成20年4-6月","101.96666666666665","1.8987341772151751","100.46666666666665","0.0","95.0","3.7873270211216123"
"平成20年7-9月","99.66666666666667","-0.366544485171616","96.93333333333334","-3.098967010996347","95.63333333333333","3.350144092218983"
"平成20年10-12月","99.76666666666667","-1.0905485789821654","97.66666666666667","-2.625456962446009","97.16666666666667","4.555236728837883"
"平成21年1-3月","100.53333333333335","-0.7568279039157488","99.59999999999998","-1.2231404958677814","98.83333333333333","5.179141539553029"
"平成21年4-6月","101.30000000000001","-0.6538084341287771","100.56666666666668","0.09953550099537267","100.23333333333335","5.508771929824576"
"平成21年7-9月","99.73333333333333","0.0668896321070207","99.7","2.8541953232462163","101.26666666666667","5.890554200069715"
"平成21年10-12月","100.13333333333333","0.3675242231874165","99.76666666666667","2.1501706484641687","101.66666666666667","4.631217838765011"
"平成22年1-3月","101.93333333333332","1.392572944297072","101.76666666666667","2.1753681392235933","99.93333333333334","1.1129848229342514"
"平成22年4-6月","103.10000000000001","1.7769002961500462","103.06666666666668","2.4859131587669765","100.66666666666667","0.43232457598934104"
"平成22年7-9月","97.16666666666667","-2.573529411764696","97.36666666666667","-2.3403543965228977","99.56666666666668","-1.6787360105332283"
"平成22年10-12月","97.76666666666667","-2.363515312916107","97.8","-1.9712662880053529","99.83333333333333","-1.8032786885245997"
"平成23年1-3月","95.16666666666667","-6.638325703073889","95.56666666666666","-6.09236816246316","99.06666666666668","-0.8672448298865874"
"平成23年4-6月","95.8","-7.080504364694491","95.60000000000001","-7.244501940491588","100.46666666666665","-0.1986754966887645"
"平成23年7-9月","96.56666666666668","-0.6174957118353319","96.60000000000001","-0.7874015748031411","100.60000000000001","1.0378305992634722"
"平成23年10-12月","97.66666666666667","-0.10228435049435802","97.63333333333333","-0.17041581458759936","99.76666666666665","-0.06677796327213059"
"平成24年1-3月","97.86666666666667","2.8371278458844102","98.23333333333333","2.7903732124171796","97.43333333333334","-1.6487213997308174"
"平成24年4-6月","97.63333333333333","1.913709116214335","97.56666666666666","2.0571827057182617","98.89999999999999","-1.5593895155938924"
"平成24年7-9月","97.63333333333333","1.1045909561615304","97.73333333333333","1.1732229123533386","98.66666666666667","-1.9218025182239984"
"平成24年10-12月","97.5","-0.1706484641638184","98.03333333333335","0.40969614202801097","97.96666666666665","-1.8042098229201429"
"平成25年1-3月","96.8","-1.089918256130801","97.89999999999999","-0.3393281303020075","98.8","1.4026684912760885"
"平成25年4-6月","97.76666666666667","0.13656538067601787","97.73333333333333","0.17082336863683167","100.2","1.3144590495450075"
"平成25年7-9月","97.66666666666667","0.03414134516901868","96.60000000000001","-1.1596180081855323","100.5","1.8581081081081123"
"平成25年10-12月","97.39999999999999","-0.1025641025641022","95.76666666666667","-2.3121387283237027","100.7","2.790064647839415"
