"""","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_名目指数","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_実質指数","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_常　用　雇　用_指    数","和　　　　　歌　　　　　山　　　　　県_常　用　雇　用_前年(同月･期)比"
"平成26年1-3月","96.53333333333335","-0.2754820936638964","95.26666666666667","-2.6898195437521224","99.93333333333332","1.147098515519545"
"平成26年4-6月","97.53333333333335","-0.2386634844868496","93.3","-4.536152796725787","100.93333333333334","0.7318695941450386"
"平成26年7-9月","99.23333333333333","1.6040955631399214","94.46666666666668","-2.208419599723939","100.46666666666665","-0.03316749585408729"
"平成26年10-12月","100.13333333333333","2.8062970568104078","95.73333333333333","-0.034806822137127824","100.0","-0.6951340615690214"
"平成19年1月","101.5","-1.6","102.8","-2.1","88.8","1.9"
"平成19年2月","99.2","-4.3","100.6","-4.3","89.7","2.4"
"平成19年3月","99.8","-3.3","100.8","-3.8","89.6","1.8"
"平成19年4月","100.5","-4.0","101.0","-4.9","90.8","1.6"
"平成19年5月","99.5","-1.8","99.8","-2.3","91.9","3.0"
"平成19年6月","100.2","-2.2","100.6","-2.6","91.9","2.7"
"平成19年7月","100.4","-1.3","100.8","-2.0","92.4","2.8"
"平成19年8月","99.5","-2.6","99.4","-3.2","92.9","2.4"
"平成19年9月","100.2","-1.3","99.9","-1.8","92.3","1.9"
"平成19年10月","100.9","-1.0","100.4","-1.6","92.3","1.6"
"平成19年11月","100.3","-1.9","99.7","-3.2","93.3","2.1"
"平成19年12月","101.4","-1.0","100.8","-2.5","93.2","1.2"
"平成20年1月","100.7","-0.8","100.3","-2.4","94.3","6.2"
"平成20年2月","102.0","2.8","101.8","1.2","93.5","4.2"
"平成20年3月","101.2","1.4","100.4","-0.4","94.1","5.0"
"平成20年4月","102.5","2.0","101.8","0.8","95.0","4.6"
"平成20年5月","101.5","2.0","99.9","0.1","95.1","3.5"
"平成20年6月","101.9","1.7","99.7","-0.9","94.9","3.3"
"平成20年7月","100.4","0.0","98.0","-2.8","95.4","3.2"
"平成20年8月","99.3","-0.2","96.4","-3.0","95.4","2.7"
"平成20年9月","99.3","-0.9","96.4","-3.5","96.1","4.1"
"平成20年10月","99.4","-1.5","96.7","-3.7","96.7","4.8"
"平成20年11月","99.9","-0.4","97.9","-1.8","96.4","3.3"
"平成20年12月","100.0","-1.4","98.4","-2.4","98.4","5.6"
"平成21年1月","100.1","-0.6","99.1","-1.2","99.5","5.5"
"平成21年2月","101.2","-0.8","100.3","-1.5","98.5","5.3"
"平成21年3月","100.3","-0.9","99.4","-1.0","98.5","4.7"
"平成21年4月","102.4","-0.1","101.7","-0.1","99.9","5.2"
"平成21年5月","100.2","-1.3","99.4","-0.5","100.4","5.6"
"平成21年6月","101.3","-0.6","100.6","0.9","100.4","5.8"
"平成21年7月","99.7","-0.7","99.7","1.7","101.5","6.4"
"平成21年8月","100.2","0.9","100.2","3.9","101.1","6.0"
"平成21年9月","99.3","0.0","99.2","2.9","101.2","5.3"
"平成21年10月","99.7","0.3","99.4","2.8","101.1","4.6"
"平成21年11月","100.3","0.4","99.9","2.0","101.8","5.6"
"平成21年12月","100.4","0.4","100.0","1.6","102.1","3.8"
"平成22年1月","100.9","0.8","100.9","1.8","100.1","0.6"
"平成22年2月","102.8","1.6","102.7","2.4","99.7","1.2"
"平成22年3月","102.1","1.8","101.7","2.3","100.0","1.5"
"平成22年4月","103.5","1.1","103.4","1.7","100.8","0.9"
"平成22年5月","102.8","2.6","102.9","3.5","100.7","0.3"
"平成22年6月","103.0","1.7","102.9","2.3","100.5","0.1"
"平成22年7月","96.5","-3.2","96.5","-3.2","100.1","-1.4"
"平成22年8月","97.3","-2.9","97.3","-2.9","99.2","-1.9"
"平成22年9月","97.7","-1.6","98.3","-0.9","99.4","-1.8"
"平成22年10月","98.2","-1.5","98.0","-1.4","99.5","-1.6"
"平成22年11月","97.1","-3.2","97.4","-2.5","99.9","-1.9"
"平成22年12月","98.0","-2.4","98.0","-2.0","100.1","-2.0"
"平成23年1月","94.5","-6.3","95.0","-5.8","98.4","-1.7"
"平成23年2月","95.8","-6.8","96.6","-5.9","98.7","-1.0"
"平成23年3月","95.2","-6.8","95.1","-6.5","100.1","0.1"
"平成23年4月","97.1","-6.2","96.6","-6.6","100.6","-0.2"
"平成23年5月","94.3","-8.3","94.0","-8.6","100.6","-0.1"
"平成23年6月","96.0","-6.8","96.2","-6.5","100.2","-0.3"
"平成23年7月","96.7","0.2","96.9","0.4","100.7","0.6"
"平成23年8月","96.9","-0.4","96.9","-0.4","100.7","1.5"
"平成23年9月","96.1","-1.6","96.0","-2.3","100.4","1.0"
"平成23年10月","98.5","0.3","98.2","0.2","99.5","0.0"
"平成23年11月","97.2","0.1","97.3","-0.1","100.2","0.3"
"平成23年12月","97.3","-0.7","97.4","-0.6","99.6","-0.5"
"平成24年1月","98.0","3.7","98.6","3.8","97.0","-1.4"
"平成24年2月","98.6","2.9","99.1","2.6","97.0","-1.7"
"平成24年3月","97.0","1.9","97.0","2.0","98.3","-1.8"
"平成24年4月","98.0","0.9","97.8","1.2","98.7","-1.9"
"平成24年5月","97.0","2.9","96.8","3.0","99.0","-1.6"
"平成24年6月","97.9","2.0","98.1","2.0","99.0","-1.2"
"平成24年7月","98.1","1.4","98.7","1.9","99.2","-1.5"
"平成24年8月","98.0","1.1","97.8","0.9","98.6","-2.1"
"平成24年9月","96.8","0.7","96.7","0.7","98.2","-2.2"
"平成24年10月","96.8","-1.7","96.7","-1.5","97.9","-1.6"
"平成24年11月","97.6","0.4","98.1","0.8","97.9","-2.3"
"平成24年12月","98.1","0.8","99.3","2.0","98.1","-1.5"
"平成25年1月","97.1","-0.9","98.2","-0.4","98.9","2.0"
"平成25年2月","96.8","-1.8","98.0","-1.1","98.9","2.0"
"平成25年3月","96.5","-0.5","97.5","0.5","98.6","0.3"
"平成25年4月","98.3","0.3","99.1","1.3","99.6","0.9"
"平成25年5月","97.3","0.3","96.9","0.1","100.1","1.1"
"平成25年6月","97.7","-0.2","97.2","-0.9","100.9","1.9"
"平成25年7月","97.3","-0.8","96.8","-1.9","100.5","1.3"
"平成25年8月","98.1","0.1","97.0","-0.8","100.5","1.9"
"平成25年9月","97.6","0.8","96.0","-0.7","100.5","2.3"
"平成25年10月","96.7","-0.1","94.8","-2.0","100.7","2.9"
"平成25年11月","97.2","-0.4","95.7","-2.4","100.9","3.1"
"平成25年12月","98.3","0.2","96.8","-2.5","100.5","2.4"
"平成26年1月","96.4","-0.7","95.4","-2.9","100.4","1.5"
"平成26年2月","96.5","-0.3","95.4","-2.7","99.8","0.9"
"平成26年3月","96.7","0.2","95.0","-2.6","99.6","1.0"
"平成26年4月","98.0","-0.3","94.0","-5.1","100.9","1.3"
"平成26年5月","96.3","-1.0","92.1","-5.0","101.1","1.0"
"平成26年6月","98.3","0.6","93.8","-3.5","100.8","-0.1"
"平成26年7月","99.1","1.8","94.4","-2.5","100.7","0.2"
"平成26年8月","99.4","1.3","94.7","-2.4","100.7","0.2"
"平成26年9月","99.2","1.6","94.3","-1.8","100.0","-0.5"
"平成26年10月","99.7","3.1","95.0","0.2","99.6","-1.1"
"平成26年11月","100.0","2.9","95.7","0.0","99.9","-1.0"
"平成26年12月","100.7","2.4","96.5","-0.3","100.5","0.0"
