"""","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_名目指数","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_実質指数","和　　　　　歌　　　　　山　　　　　県_きまって支給する給与_前年(同月･期)比","和　　　　　歌　　　　　山　　　　　県_常　用　雇　用_指    数","和　　　　　歌　　　　　山　　　　　県_常　用　雇　用_前年(同月･期)比"
"平成20年6月","103.7","-0.3","101.5","-2.8","94.8","5.8"
"平成20年7月","102.2","-1.2","99.8","-3.9","94.4","4.7"
"平成20年8月","101.2","-0.5","98.3","-3.2","94.3","4.4"
"平成20年9月","100.3","-3.0","97.4","-5.5","93.2","3.7"
"平成20年10月","100.4","-3.0","97.7","-5.1","94.6","5.7"
"平成20年11月","101.2","-1.5","99.2","-2.8","93.8","3.5"
"平成20年12月","101.1","-4.0","99.5","-5.0","96.3","6.6"
"平成21年1月","99.4","-3.9","98.4","-4.5","98.6","6.8"
"平成21年2月","100.8","-3.6","99.9","-4.3","97.4","6.2"
"平成21年3月","100.7","-1.5","99.8","-1.6","96.8","4.2"
"平成21年4月","101.6","-2.4","100.9","-2.4","98.9","4.9"
"平成21年5月","100.2","-3.7","99.4","-2.9","99.4","5.2"
"平成21年6月","101.0","-2.6","100.3","-1.2","99.6","5.1"
"平成21年7月","100.6","-1.6","100.6","0.8","100.0","5.9"
"平成21年8月","100.9","-0.3","100.9","2.6","99.4","5.4"
"平成21年9月","99.7","-0.6","99.6","2.3","100.0","7.3"
"平成21年10月","99.8","-0.6","99.5","1.8","99.7","5.4"
"平成21年11月","101.1","-0.1","100.7","1.5","101.0","7.7"
"平成21年12月","100.4","-0.7","100.0","0.5","101.0","4.9"
"平成22年1月","99.5","0.1","99.5","1.1","99.8","1.2"
"平成22年2月","101.0","0.2","100.9","1.0","99.4","2.1"
"平成22年3月","99.8","-0.9","99.4","-0.4","99.8","3.1"
"平成22年4月","101.4","-0.2","101.3","0.4","101.5","2.6"
"平成22年5月","99.5","-0.7","99.6","0.2","101.1","1.7"
"平成22年6月","100.2","-0.8","100.1","-0.2","100.4","0.8"
"平成22年7月","99.0","-1.6","99.0","-1.6","100.0","0.0"
"平成22年8月","99.8","-1.1","99.8","-1.1","99.4","0.0"
"平成22年9月","99.8","0.1","100.4","0.8","99.6","-0.4"
"平成22年10月","100.4","0.6","100.2","0.7","99.3","-0.4"
"平成22年11月","99.7","-1.4","100.0","-0.7","100.0","-1.0"
"平成22年12月","100.0","-0.4","100.0","0.0","99.8","-1.2"
"平成23年1月","98.9","-0.6","99.4","-0.1","96.1","-3.7"
"平成23年2月","100.1","-0.9","100.9","0.0","95.9","-3.5"
"平成23年3月","98.8","-1.0","98.7","-0.7","98.5","-1.3"
"平成23年4月","100.7","-0.7","100.2","-1.1","99.5","-2.0"
"平成23年5月","99.0","-0.5","98.7","-0.9","98.9","-2.2"
"平成23年6月","101.1","0.9","101.3","1.2","98.8","-1.6"
"平成23年7月","100.2","1.2","100.4","1.4","99.2","-0.8"
"平成23年8月","100.1","0.3","100.1","0.3","99.4","0.0"
"平成23年9月","99.2","-0.6","99.1","-1.3","98.9","-0.7"
"平成23年10月","103.2","2.8","102.9","2.7","97.1","-2.2"
"平成23年11月","101.6","1.9","101.7","1.7","97.8","-2.2"
"平成23年12月","101.7","1.7","101.8","1.8","97.6","-2.2"
"平成24年1月","101.3","2.4","101.9","2.5","94.6","-1.6"
"平成24年2月","101.3","1.2","101.8","0.9","94.4","-1.6"
"平成24年3月","98.8","0.0","98.8","0.1","97.4","-1.1"
"平成24年4月","100.5","-0.2","100.3","0.1","97.9","-1.6"
"平成24年5月","99.4","0.4","99.2","0.5","98.4","-0.5"
"平成24年6月","99.7","-1.4","99.9","-1.4","98.4","-0.4"
"平成24年7月","99.2","-1.0","99.8","-0.6","99.0","-0.2"
"平成24年8月","99.8","-0.3","99.6","-0.5","98.4","-1.0"
"平成24年9月","98.5","-0.7","98.4","-0.7","97.4","-1.5"
"平成24年10月","98.2","-4.8","98.1","-4.7","97.1","0.0"
"平成24年11月","99.0","-2.6","99.5","-2.2","97.2","-0.6"
"平成24年12月","99.2","-2.5","100.4","-1.4","97.4","-0.2"
"平成25年1月","98.6","-2.7","99.7","-2.2","97.5","3.1"
"平成25年2月","98.2","-3.1","99.4","-2.4","97.3","3.1"
"平成25年3月","98.0","-0.8","99.0","0.2","96.6","-0.8"
"平成25年4月","99.6","-0.9","100.4","0.1","97.8","-0.1"
"平成25年5月","98.1","-1.3","97.7","-1.5","98.2","-0.2"
"平成25年6月","99.1","-0.6","98.6","-1.3","98.7","0.3"
"平成25年7月","98.0","-1.2","97.5","-2.3","98.6","-0.4"
"平成25年8月","99.7","-0.1","98.6","-1.0","98.2","-0.2"
"平成25年9月","99.1","0.6","97.4","-1.0","98.1","0.7"
"平成25年10月","98.6","0.4","96.7","-1.4","98.2","1.1"
"平成25年11月","98.9","-0.1","97.3","-2.2","98.1","0.9"
"平成25年12月","99.9","0.7","98.3","-2.1","97.8","0.4"
"平成26年1月","100.4","1.8","99.4","-0.3","97.5","0.0"
"平成26年2月","99.5","1.3","98.3","-1.1","97.4","0.1"
"平成26年3月","98.6","0.6","96.9","-2.1","96.7","0.1"
"平成26年4月","100.5","0.9","96.4","-4.0","98.9","1.1"
"平成26年5月","98.4","0.3","94.1","-3.7","98.7","0.5"
"平成26年6月","100.8","1.7","96.2","-2.4","98.8","0.1"
"平成26年7月","99.2","1.2","94.5","-3.1","98.7","0.1"
"平成26年8月","100.3","0.6","95.5","-3.1","98.5","0.3"
"平成26年9月","99.2","0.1","94.3","-3.2","97.8","-0.3"
"平成26年10月","99.6","1.0","94.9","-1.9","97.3","-0.9"
"平成26年11月","100.3","1.4","96.0","-1.3","97.4","-0.7"
"平成26年12月","100.9","1.0","96.6","-1.7","98.6","0.8"
